#           V(3)       V(2)       V(E1.X1)   V(E2.X1)   V(E3.X1)  
 0.91       0.45518    0.5        0.65266    0.63717    0.83376   
 0.92       0.46019    0.5        0.65294    0.63717    0.83376   
 0.93       0.46519    0.5        0.65322    0.63717    0.83376   
 0.94       0.47019    0.5        0.6535     0.63717    0.83376   
 0.95       0.47519    0.5        0.65377    0.63717    0.83376   
 0.96       0.4802     0.5        0.65404    0.63717    0.83376   
 0.97       0.48519    0.5        0.65431    0.63717    0.83376   
 0.98       0.4902     0.5        0.65458    0.63717    0.83376   
 0.99       0.4952     0.5        0.65484    0.63717    0.83376   
 1.         0.5002     0.5        0.6551     0.63717    0.83376   
